LDM,LDA,MA,A
lmofradat,almofradat,مفردات,المفردات
boldane,boldan,بلدان,البلدان
oustouraliya,ostoralia,استراليا,أستراليا
kombodje,kambodia,كامبودج,كمبوديا
canada,canada,كندا,كندا
sine,sin,الصين,الصين
missre,masr,مصر,مصر
naglize,inglaterra,نجليز,انكلترا
franssa,faransa,فرانسا,فرنسا
almaniya,almania,المانيا,ألمانيا
younane,alyounan,يونان,اليونان
hind,alhind,الهند,الهند
andounissiya,indonisia,اندونيسيا,أندونيسيا
taliane,italia,ايطاليا,إيطاليا
japoune,alyaban,اليابان,اليابان
mixik,almixik,المكسيك,المكسيك
maghrib,almaghrib,المغريب,المغرب
pirou,birou,بيرو,بيرو
sbaniya,2ispania,اسبانيا,إسبانيا
taylande,tailand,طايلاند,تايلاند
mirikane,Alwilayat almota7ida alamrikia,ميريكان,الولايات المتحدة الأمريكية
loghat,loghat,لوغات,لغات
3arbia,al3arabia,لعربية,العربية
siniya,asinia,صينية,الصينية
nagliziya,al2inglizia,نجليزية,الإنجليزية
fransawiya,alfaransia,فرنساويا,الفرنسية
almania,alalmania,المانيا,الألمانية
younaniya,alyounanya,يونانيا,اليونانية
ihoudiya,al3ibria,يهودية,العبرية
hindiya,alhindia,هندية,الهندية
italiya,al2italia,ايطالية,الإيطالي
japoniya,alyabania,جابونية,اليابانية
kordiya,alkouria,كورية,الكورية
latiniya,latinia,لاتينية,لاتينية
roussiya,roussia,روسية,الروسية
spaniouliya,2ispania,صبليونية,الأسبانية
2ordia,al2ordia,الاردية,الأردية
lyamate,2ayam,ليامات,أيام
tnine,2ithnayn,تنين,الاثنين
tlate,tholatha2,تلات,الثلاثاء
larb3a,2arbi3a2,لاربعا,الأربعاء
5amis,5amis,الخميس,الخميس
jam3a,jomo3a,جمعة,الجمعة
sabte,sabt,سبت,السبت
7add,2a7ad,الحد,الأحد
marra,marra,مرة,مرة
sa3a,sa3a,ساعة,ساعة
d9i9a,da9i9a,دقيقة,دقيقة